ilce_adi;mahalle_adi;meshur_urunler
Karatay;KARADONA;SÜT, YAĞ, YOĞURT, PEYNİR, YUMURTA
Karatay;HAYIROĞLU MERKEZ;SÜT, YOĞURT, PEYNİR
Karatay;YARMA;SÜT, YUMURTA
Kulu;AĞILBAŞI;SÜT, PEYNİR, YUMURTA
Kulu;ÖMERANLI;SÜT, YAĞ, CANLI HAYVAN
Kulu;DİPDEDE;SÜT, YOĞURT
Kulu;BAHADIRLI;SÜT, YOĞURT
Kulu;DEĞİRMENÖZÜ;YUFKA, BULGUR
Meram;İLYASBABA;BAL
Meram;GÖKYURT;CANLI HAYVAN, PEKMEZ
Meram;BAYAT;SÜT
Meram;ÇOMAKLAR;SÜT
Meram;HATUNSARAY;SÜT
Meram;KAYHÜYÜK;SÜT
Meram;SADIKLAR;SÜT
Meram;SAĞLIK;SÜT
Meram;KAVAK;SÜT, YAĞ, PEYNİR
Meram;YEŞİLDERE;SÜT, YAĞ, PEYNİR
Meram;KAYADİBİ;SÜT, YOĞURT, PEYNİR
Meram;KIZILÖREN;SÜT, YOĞURT, PEYNİR
Sarayönü;BAŞHÜYÜK;KAYMAK, PEYNİR
Sarayönü;BÜYÜKZENGİ;SÜT
Sarayönü;KAYIÖREN;SÜT
Sarayönü;ERTUĞRUL;SÜT, PEYNİR
Sarayönü;KURŞUNLU;SÜT, PEYNİR
Sarayönü;ÇEŞMELİSEBİL;SÜT, TARHANA
Sarayönü;DEĞİRMENLİ;SÜT, YAĞ
Sarayönü;BOYALI;SÜT, YAĞ, BAL, YUMURTA
Sarayönü;KARABIYIK;SÜT, YAĞ, KAYMAK, YOĞURT, PEYNİR
Sarayönü;KONAR;SÜT, YAĞ, YOĞURT
Sarayönü;KUYULUSEBİL;SÜT, YAĞ, YOĞURT, PEYNİR
Sarayönü;KARATEPE;SÜT, YOĞURT, PEYNİR
Selçuklu;BAŞARAKAVAK;BAL
Selçuklu;Mehmet Fatih;BAL
Selçuklu;hasan;BAL, CANLI HAYVAN
Selçuklu;SİLLE;MEYVE KURUSU, PEKMEZ, TANDIR EKMEĞİ
Selçuklu;AŞAĞIPINARBAŞI;PEKMEZ
Selçuklu;SARICALAR;PEYNİR, SÜT REÇELİ
Selçuklu;KERVAN;SÜT
Selçuklu;KINIK;SÜT, KAYMAK, YOĞURT
Selçuklu;MEYDAN;SÜT, PEYNİR
Selçuklu;SELAHATTİN;SÜT, YAĞ, BAL, YOĞURT, PEYNİR
Selçuklu;YUKARIPINARBAŞI;SÜT, YAĞ, PEYNİR
Selçuklu;SULUTAS;SÜT, YAĞ, YOĞURT, PEYNİR
Selçuklu;AKPINAR;SÜT, YAĞ, YOĞURT, PEYNİR
Selçuklu;ÇALTI;SÜT, YAĞ, YOĞURT, PEYNİR
Selçuklu;KIZILCAKUYU;SÜT, YOĞURT
Selçuklu;ARDIÇLI;SÜT, YOĞURT, CANLI HAYVAN, PEYNİR, YUMURTA
Selçuklu;ÇANDIR;SÜT, YOĞURT, PEYNİR
Selçuklu;EĞRİBAYAT;SÜT, YOĞURT, PEYNİR
Selçuklu;GÜVENÇ;SÜT, YOĞURT, PEYNİR
Selçuklu;YAZIBELEN;SÜT, YOĞURT, PEYNİR
Selçuklu;YÜKSELEN;SÜT, YOĞURT, PEYNİR
Selçuklu;BAĞRIKURT;YAĞ, YOĞURT, PEYNİR
Selçuklu;KÜÇÜKMUHSİNE;YOĞURT, PEYNİR
Seydişehir;KOZLU;CANLI HAYVAN
Seydişehir;OĞLAKÇI;CANLI HAYVAN
Seydişehir;KESECİK;SÜT
Seydişehir;AKÇALAR;SÜT
Seydişehir;ÇAT;SÜT, KAYMAK, YOĞURT
Seydişehir;MADENLİ;SÜT, PEYNİR
Seydişehir;TAŞAĞIL;SÜT, PEYNİR
Seydişehir;BÜKÇE;SÜT, YAĞ, PEYNİR
Seydişehir;ÇAVUŞ;SÜT, YAĞ, PEYNİR
Seydişehir;BOYALI;SÜT, YAĞ, YOĞURT
Seydişehir;DİKİLİTAŞ;SÜT, YAĞ, YOĞURT, PEYNİR
Seydişehir;YENİCE;SÜT, YOĞURT
Seydişehir;ÇATMAKAYA;SÜT, YOĞURT, PEYNİR
Seydişehir;KIZILCA;SÜT, YOĞURT, PEYNİR
Seydişehir;YAYLACIK;YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
Seydişehir;UFACIK;YAĞ, YUMURTA
Taşkent;BALCILAR;BAL, PEYNİR
Taşkent;ILICAPINAR;KARADUT
Taşkent;KECİMEN;KURU ÜZÜM
Taşkent;AFŞAR;PEKMEZ
Taşkent;BOLAY;PEKMEZ
Taşkent;KONGUL;SÜT, YAĞ, PEYNİR
Tuzlukçu;KORAŞI;CANLI HAYVAN
Tuzlukçu;SUBATAN;CANLI HAYVAN
Tuzlukçu;KONARI;SÜT, YAĞ, YOĞURT, PEYNİR
Tuzlukçu;KÖKLÜCE;YOĞURT, PEYNİR
Yunak;ALTINÖZ;BAL
Yunak;AYRITEPE;SÜT
Yunak;ÇAYIRBAŞI;SÜT
Yunak;HACIÖMEROĞLU;SÜT
Yunak;HATIRLI;SÜT
Yunak;HARUNLAR;SÜT
Yunak;İMAMOĞLU;SÜT
Yunak;KARAYAYLA;SÜT
