,yıl,ay,kart_tipi,kart_kullanim_sayisi
547,2022,temmuz,KAMU,1368
548,2022,temmuz,MUHTAR,439
549,2022,temmuz,SOSYAL KART,30967
550,2022,temmuz,TAM ABONMAN,341561
551,2022,temmuz,TAM KART,3157093
552,2022,temmuz,ZABITA,359
553,2022,agustos,65 YAŞ ÜSTÜ,482897
554,2022,agustos,DİĞER,275395
555,2022,agustos,BASIN,4416
556,2022,agustos,ENGELLİ,154410
557,2022,agustos,ENGELLİ REFAKATLİ,27859
558,2022,agustos,GÖRME ENGELLİ,899
559,2022,agustos,GÖRME ENGELLİ REFAKATLİ,479
560,2022,agustos,İNDİRİMLİ,2185549
561,2022,agustos,KAMU,1760
562,2022,agustos,MUHTAR,506
563,2022,agustos,SOSYAL KART,33255
564,2022,agustos,TAM ABONMAN,397882
565,2022,agustos,TAM KART,3531033
566,2022,agustos,ZABITA,353
567,2022,eylul,65 YAŞ ÜSTÜ,509591
568,2022,eylul,DİĞER,287024
569,2022,eylul,BASIN,4586
570,2022,eylul,ENGELLİ,162542
571,2022,eylul,ENGELLİ REFAKATLİ,30748
572,2022,eylul,GÖRME ENGELLİ,857
573,2022,eylul,GÖRME ENGELLİ REFAKATLİ,512
574,2022,eylul,İNDİRİMLİ,3641788
575,2022,eylul,KAMU,1675
576,2022,eylul,MUHTAR,605
577,2022,eylul,SOSYAL KART,33555
578,2022,eylul,TAM ABONMAN,410252
579,2022,eylul,TAM KART,3761414
580,2022,eylul,ZABITA,891
581,2022,ekim,65 YAŞ ÜSTÜ,527425
582,2022,ekim,DİĞER,313592
583,2022,ekim,BASIN,4769
584,2022,ekim,ENGELLİ,168464
585,2022,ekim,ENGELLİ REFAKATLİ,32245
586,2022,ekim,GÖRME ENGELLİ,941
587,2022,ekim,GÖRME ENGELLİ REFAKATLİ,605
588,2022,ekim,İNDİRİMLİ,5398487
589,2022,ekim,KAMU,1842
590,2022,ekim,MUHTAR,601
591,2022,ekim,SOSYAL KART,32123
592,2022,ekim,TAM ABONMAN,437063
593,2022,ekim,TAM KART,3985130
594,2022,ekim,ZABITA,1071
595,2022,kasim,65 YAŞ ÜSTÜ,547498
596,2022,kasim,DİĞER,390077
597,2022,kasim,BASIN,4720
598,2022,kasim,ENGELLİ,169796
599,2022,kasim,ENGELLİ REFAKATLİ,32432
600,2022,kasim,GÖRME ENGELLİ,989
601,2022,kasim,GÖRME ENGELLİ REFAKATLİ,604
602,2022,kasim,İNDİRİMLİ,5042738
603,2022,kasim,KAMU,2243
604,2022,kasim,MUHTAR,601
605,2022,kasim,SOSYAL KART,33893
606,2022,kasim,TAM ABONMAN,433775
607,2022,kasim,TAM KART,3880695
608,2022,kasim,ZABITA,1081
609,2022,aralik,65 YAŞ ÜSTÜ,544681
610,2022,aralik,DİĞER,396876
611,2022,aralik,BASIN,4907
612,2022,aralik,ENGELLİ,174463
613,2022,aralik,ENGELLİ REFAKATLİ,32356
614,2022,aralik,GÖRME ENGELLİ,1042
615,2022,aralik,GÖRME ENGELLİ REFAKATLİ,542
616,2022,aralik,İNDİRİMLİ,5497600
617,2022,aralik,KAMU,1941
618,2022,aralik,MUHTAR,641
619,2022,aralik,SOSYAL KART,35372
620,2022,aralik,TAM ABONMAN,455490
621,2022,aralik,TAM KART,3929756
622,2022,aralik,ZABITA,1032
