,ilce_adi,mahalle_adi,konaklama_yeri
184,Cihanbeyli,YENİCEOBA,KÖY KONAĞI
185,Cihanbeyli,CUMHURİYET,YOK
186,Cihanbeyli,GEMECİK,YOK
187,Cihanbeyli,GÖKTEPE,YOK
188,Cihanbeyli,AĞABEYLİ,KÖY KONAĞI
189,Cihanbeyli,HODOĞLU,KÖY KONAĞI
190,Cihanbeyli,KAYI,KÖY KONAĞI
191,Cihanbeyli,KIRKIŞLA,YOK
192,Cihanbeyli,KORKMAZLAR,YOK
193,Cihanbeyli,KÜÇÜKBEŞKAVAK,KÖY KONAĞI
194,Cihanbeyli,MUTLUKONAK,KÖY KONAĞI
195,Cihanbeyli,SAĞLIK,KÖY ODASI
196,Cihanbeyli,SIĞIRCIK,KÖY KONAĞI
197,Cihanbeyli,TURANLAR,YOK
198,Cihanbeyli,TÜFEKÇİPINAR,KÖY KONAĞI
199,Cihanbeyli,UZUNCAYAYLA,KÖY KONAĞI
200,Cihanbeyli,YÜNLÜKUYU,YOK
201,Cihanbeyli,ZAFERİYE,KÖY KONAĞI
202,Cihanbeyli,GÖLYAZI,YOK
203,Cihanbeyli,GÜNYÜZÜ,KÖY KONAĞI
204,Cihanbeyli,İNSUYU,YOK
205,Cihanbeyli,KANDİL,YOK
206,Cihanbeyli,KARABAĞ,YOK
207,Cihanbeyli,KELHASAN,YOK
208,Cihanbeyli,KUŞCA,YOK
209,Cihanbeyli,KÜTÜKUŞAĞI,KÖY KONAĞI
210,Cihanbeyli,TAŞPINAR,MİSAFİRHANE
211,Cihanbeyli,BEYLİOVA,KÖY KONAĞI
212,Cihanbeyli,ÇİMEN,KÖY KONAĞI
213,Cihanbeyli,ÇÖL,YOK
214,Cihanbeyli,DAMLAKUYU,KÖY KONAĞI
215,Cihanbeyli,BULDUK,KÖY ODASI
216,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
217,Cihanbeyli,KARATEPE,KÖY ODASI
218,Çumra,ARIKÖREN,YOK
219,Çumra,DEDEMOĞLU,KÖY KONAĞI
220,Çumra,TÜRKMENCAMİLİ,YOK
221,Çumra,A.B.HÜYÜĞÜ,YOK
222,Çumra,DİNEK,KÖY KONAĞI
223,Çumra,İÇERİÇUMRA,KÖY KONAĞI
224,Çumra,GÜVERCİNLİK,KÖY KONAĞI
225,Çumra,KARKIN,YOK
226,Çumra,OKÇU,YOK
227,Çumra,YENİSU,KÖY KONAĞI
228,Çumra,APA,YOK
229,Çumra,ABDİTOLU,KÖY KONAĞI
230,Çumra,ADAKALE,YOK
231,Çumra,ALEMDAR,YOK
232,Çumra,APASARAYCIK,KÖY KONAĞI
233,Çumra,AFŞAR,YOK
234,Çumra,AVDUL,KÖY KONAĞI
235,Çumra,BALÇIKHİSAR,KÖY KONAĞI
236,Çumra,BEYLERCE,YOK
237,Çumra,B.AŞLAMA,KÖY KONAĞI
238,Çumra,CİCEK,YOK
239,Çumra,ÇUKURKAVAK,KÖY KONAĞI
240,Çumra,DİNLENDİK,YOK
241,Çumra,DİNEKSARAY,KÖY KONAĞI
242,Çumra,DOĞANLI,KÖY KONAĞI
243,Çumra,FETHİYE,KÖY KONAĞI
244,Çumra,GÖKHÜYÜK,KÖY KONAĞI
245,Çumra,ERENTEPE,YOK
246,Çumra,İNLİ,YOK
247,Çumra,KUZUCU,KÖY KONAĞI
248,Çumra,KÜÇÜKKÖY,YOK
249,Çumra,SEÇME,YOK
250,Çumra,SÜRGÜÇ,YOK
251,Çumra,TAHTALI,YOK
252,Çumra,T.KARAHÜYÜK,KÖY KONAĞI
